PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=118 time=4.49 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=118 time=4.45 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=118 time=4.44 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=118 time=4.50 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=118 time=4.45 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=118 time=4.46 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=118 time=4.43 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=118 time=4.44 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=118 time=4.47 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=118 time=4.45 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=118 time=4.43 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=118 time=4.39 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=118 time=4.48 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=118 time=4.42 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=118 time=4.41 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=118 time=4.43 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=118 time=4.41 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=118 time=4.52 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=118 time=4.51 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=118 time=4.42 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=118 time=4.43 ms

